,周一,周二,周三,周四,周五
1-2,"学生001[1,2,3,4,5,6,8,9,10,11,12,13,14,15,19] 学生002[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19] 学生003[1,2,3,4,5,6,9,10,11,12,13,14,15,16,17,18,19] 学生004[18,19] 学生005[1,2,3,4,5,6,7,8,9,10,11,14,15,16,17,19] 学生006[15,16,17,19] 学生007[1,2,3,5,6,7,8,9,10,11,12,13,14,15,19] 学生008[4,14,15,18,19] 学生009[1,2,3,4,19] 学生010[13,14,15,16,17,18,19] 学生011[18,19] 学生012[7,8,19] 学生013[19] 学生014[1,2,3,4,19] 学生015[12,13,14,16,19] 学生016[1,2,3,4,5,6,9,10,11,12,13,14,15,16,17,18,19] 学生017[1,2,3,4,9,10,11,12,13,14,15,16,19] 学生018[1,2,3,4,5,6,8,9,10,11,12,13,14,15,19] 学生019[18,19] 学生020[13,14,15,16,17,18,19] 学生021[13,14,15,19] 学生022[1,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19] 学生024[13,14,15,16,17,18,19] 学生025[1,2,3,5,6,7,8,9,10,11,12,13,14,17,18,19] 学生026[13,14,15,19] 学生027[1,2,3,4,5,6,7,8,13,14,15,16,19] 学生028[13,14,15,19] 学生029[1,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19] 学生030[2,4,8,10,12,14,16,18,19] 学生031[15,19] 学生032[1,2,3,4,5,6,9,10,11,12,13,14,15,16,17,18,19] 学生033[1,2,3,4,5,6,15,16,17,18,19] 学生034[17,18,19] 学生035[1,2,3,5,6,7,8,11,12,13,14,15,16,17,18,19] 学生036[1,2,3,4,17,18,19] 学生037[13,14,15,16,19] 学生038[12,13,14,16,19] 学生039[18,19] 学生040[18,19] 学生041[1,2,3,4,5,6,8,9,10,11,12,13,14,15,19] 学生042[1,2,3,4,17,18,19] 学生043[18,19] 学生044[1,2,3,4,5,6,8,9,10,11,12,13,14,15,19] 学生045[18,19] 学生046[1,2,3,4,5,6,7,8,13,14,15,16,19] 学生047[13,14,15,16,17,18,19]","学生001[19] 学生002[17,18,19] 学生003[19] 学生004[13,14,15,17,18,19] 学生005[3,15,16,17,19] 学生006[5,6,7,8,10,11,12,13,14,15,16,17,19] 学生007[14,15,19] 学生008[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,18,19] 学生009[1,2,3,4,5,6,7,8,9,12,13,14,15,16,19] 学生010[13,14,15,16,17,18,19] 学生011[1,3,5,7,9,11,13,14,15,16,18,19] 学生012[17,18,19] 学生013[1,2,17,18,19] 学生014[1,2,3,4,5,6,7,8,9,12,13,14,15,16,19] 学生015[16,19] 学生016[19] 学生017[19] 学生018[19] 学生019[13,14,15,16,18,19] 学生020[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19] 学生021[15,19] 学生022[15,16,17,18,19] 学生024[13,14,15,16,17,18,19] 学生025[9,19] 学生026[15,19] 学生027[15,16,19] 学生028[15,19] 学生029[15,16,17,18,19] 学生030[19] 学生031[1,2,3,5,7,9,11,13,15,19] 学生032[19] 学生033[1,2,3,4,8,9,13,14,15,16,17,18,19] 学生034[2,4,6,8,10,12,13,14,15,16,17,18,19] 学生035[8,17,18,19] 学生036[1,2,3,4,17,18,19] 学生037[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19] 学生038[16,19] 学生039[13,14,15,17,18,19] 学生040[1,3,5,7,9,11,13,14,15,16,18,19] 学生041[19] 学生042[1,2,3,4,17,18,19] 学生044[19] 学生045[18,19] 学生046[15,16,19] 学生047[13,14,15,16,17,18,19]","学生001[19] 学生002[17,18,19] 学生003[19] 学生004[18,19] 学生005[1,2,3,4,9,10,11,14,15,16,17,19] 学生006[1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,19] 学生007[15,19] 学生008[2,4,6,8,10,12,14,15,18,19] 学生009[2,4,6,8,12,14,15,16,19] 学生010[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19] 学生011[18,19] 学生012[17,18,19] 学生013[1,2,3,4,5,6,17,18,19] 学生014[2,4,6,8,12,14,15,16,19] 学生015[1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,19] 学生016[19] 学生017[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19] 学生018[19] 学生019[18,19] 学生020[2,4,6,8,10,12,13,14,15,16,17,18,19] 学生021[19] 学生022[15,16,17,18,19] 学生024[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19] 学生025[1,3,5,7,9,11,13,17,18,19] 学生026[19] 学生027[13,15,19] 学生028[19] 学生029[15,16,17,18,19] 学生030[19] 学生031[12,13,14,15,19] 学生032[19] 学生033[1,2,3,4,15,16,17,18,19] 学生034[17,18,19] 学生035[19] 学生036[1,2,3,4] 学生037[9,10,11,12,13,14,15,16,19] 学生038[1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,19] 学生039[13,14,15,17,18,19] 学生040[18,19] 学生041[19] 学生042[1,2,3,4] 学生043[19] 学生044[19] 学生045[18,19] 学生046[13,15,19] 学生047[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]","学生001[15,19] 学生002[1,2,3,4,9,10,11,12,13,14,15,16,17,18,19] 学生003[17,18,19] 学生004[2,4,6,8,10,12,13,14,15,17,18,19] 学生005[19] 学生006[16,17,19] 学生007[3,19] 学生008[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,18,19] 学生009[2,4,6,8,12,14,16,19] 学生010[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19] 学生011[18,19] 学生012[1,2,3,4,9,10,11,12,13,14,15,16,17,18,19] 学生013[17,18,19] 学生014[2,4,6,8,12,14,16,19] 学生015[13,14,16,19] 学生016[17,18,19] 学生017[15,16,19] 学生018[12,13,14,15,19] 学生019[2,4,6,8,10,12,13,14,15,16,18,19] 学生020[13,14,15,16,17,18,19] 学生021[2,4,6,8,10,12,14,15,19] 学生022[1,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19] 学生024[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19] 学生025[13,14,17,18,19] 学生026[2,4,6,8,10,12,14,15,19] 学生027[19] 学生028[2,4,6,8,10,12,14,15,19] 学生029[1,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19] 学生030[17,18,19] 学生031[1,2,15,19] 学生032[17,18,19] 学生033[1,2,3,4,17,18,19] 学生034[13,14,15,16,17,18,19] 学生035[18,19] 学生036[1,2,3,4,6,8,10,12,14,16,17,18,19] 学生037[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19] 学生038[13,14,16,19] 学生039[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19] 学生040[18,19] 学生041[15,19] 学生042[1,2,3,4,5,7,9,11,13,14,15,16,17,18,19] 学生043[2,3,4,5,6,7,8,14,15,17,18,19] 学生044[15,19] 学生045[2,4,6,8,10,12,13,14,15,17,18,19] 学生046[19] 学生047[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]","学生001[2,4,6,8,10,12,14,15,19] 学生002[13,14,15,16,17,18,19] 学生003[1,3,5,9,11,13,15,17,19] 学生004[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19] 学生005[1,10,11,14,15,16,17,19] 学生006[19] 学生007[3,14,15,19] 学生008[1,3,5,7,9,11,12,13,14,15,18,19] 学生009[1,12,13,14,15,16,19] 学生010[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19] 学生011[18,19] 学生012[13,14,15,16,17,18,19] 学生013[1,2,3,4,5,6,7,8,9,12,13,14,15,16,17,18,19] 学生014[1,12,13,14,15,16,19] 学生015[2,4,6,8,10,12,13,14,16,19] 学生016[1,3,5,9,11,13,15,17,19] 学生017[13,14,15,16,19] 学生018[2,4,6,8,10,12,14,15,19] 学生019[18,19] 学生020[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19] 学生021[19] 学生022[1,3,4,9,10,11,13,14,15,16,17,18,19] 学生024[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19] 学生025[17,18,19] 学生026[19] 学生027[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19] 学生028[19] 学生029[1,3,4,9,10,11,13,14,15,16,17,18,19] 学生030[7,8,9,10,11,12,13,14,15,16,17,18,19] 学生031[2,4,6,8,10,12,13,14,15,19] 学生032[15,17,19] 学生033[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19] 学生034[8,9,10,11,12,13,14,15,16,17,18,19] 学生035[1,2,3,5,6,7,8,11,12,13,14,15,16,17,18,19] 学生036[1,2,3,4,17,18,19] 学生037[9,10,11,12,13,14,15,16,19] 学生038[2,4,6,8,10,12,13,14,16,19] 学生039[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19] 学生040[18,19] 学生041[2,4,6,8,10,12,14,15,19] 学生042[1,2,3,4,17,18,19] 学生043[19] 学生044[2,4,6,8,10,12,14,15,19] 学生045[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19] 学生046[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19] 学生047[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]"
3-4,"学生001[15,19] 学生002[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19] 学生003[1,2,3,4,5,6,9,10,11,12,13,14,15,16,17,18,19] 学生004[13,14,15,17,18,19] 学生005[1,2,3,4,17,19] 学生006[1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,19] 学生007[1,2,3,19] 学生008[19] 学生009[15,16,19] 学生010[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19] 学生011[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19] 学生012[17,18,19] 学生013[15,16,17,18,19] 学生014[15,16,19] 学生015[13,14,16,19] 学生016[1,2,3,4,5,6,9,10,11,12,13,14,15,16,17,18,19] 学生017[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19] 学生018[12,13,14,15,19] 学生019[13,14,15,16,18,19] 学生020[12,13,14,15,16,17,18,19] 学生021[14,15,19] 学生022[19] 学生024[8,14,15,16,17,18,19] 学生025[17,18,19] 学生026[14,15,19] 学生027[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19] 学生028[14,15,19] 学生029[19] 学生030[15,16,17,18,19] 学生031[2,4,6,8,10,12,13,14,15,19] 学生032[1,2,3,4,5,6,9,10,11,12,13,14,15,16,17,18,19] 学生033[1,2,3,4,17,18,19] 学生034[13,14,15,16,17,18,19] 学生035[17,18,19] 学生036[1,2,3,4,17,18,19] 学生037[13,14,15,16,19] 学生038[13,14,16,19] 学生039[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19] 学生040[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19] 学生041[15,19] 学生042[1,2,3,4,17,18,19] 学生043[19] 学生044[15,19] 学生045[13,14,15,17,18,19] 学生046[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19] 学生047[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]","学生001[14,15,19] 学生002[13,15,16,17,18,19] 学生003[17,18,19] 学生004[18,19] 学生005[1,3,5,7,9,11,15,16,17,19] 学生006[16,17,19] 学生007[14,15,19] 学生008[7,8,9,10,11,12,13,14,15,18,19] 学生009[2,4,6,8,12,14,15,16,19] 学生010[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19] 学生011[2,4,6,8,10,12,14,16,18,19] 学生012[13,15,16,17,18,19] 学生013[17,18,19] 学生014[2,4,6,8,12,14,15,16,19] 学生015[13,14,16,19] 学生016[17,18,19] 学生017[1,2,3,4,19] 学生018[14,15,19] 学生019[2,4,6,8,10,12,14,16,18,19] 学生020[2,4,6,8,10,12,13,14,15,16,17,18,19] 学生021[19] 学生022[15,16,17,18,19] 学生024[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19] 学生025[1,2,3,17,18,19] 学生026[19] 学生027[1,2,3,4,19] 学生028[19] 学生029[15,16,17,18,19] 学生030[17,18,19] 学生031[1,2,3,4,9,10,11,12,13,14,15,19] 学生032[17,18,19] 学生033[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19] 学生034[8,13,14,15,16,17,18,19] 学生035[18,19] 学生036[1,2,3,4,17,18,19] 学生037[5,6,7,8,9,10,11,12,13,14,15,16,19] 学生038[13,14,16,19] 学生039[18,19] 学生040[2,4,6,8,10,12,14,16,18,19] 学生041[14,15,19] 学生042[1,2,3,4,13,14,15,16,17,18,19] 学生044[14,15,19] 学生045[18,19] 学生046[1,2,3,4,19] 学生047[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]","学生001[1,2,3,4,5,6,8,9,10,11,12,13,14,15,19] 学生002[5,6,19] 学生003[1,2,3,4,5,6,9,10,11,12,13,14,15,16,17,18,19] 学生004[2,4,6,8,10,12,13,14,15,17,18,19] 学生005[1,2,3,4,5,6,7,8,9,10,11,14,15,16,17,19] 学生006[10,11,12,13,14,15,16,17,19] 学生007[3,19] 学生008[12,13,14,15,18,19] 学生009[1,2,3,4,5,6,7,8,9,12,13,14,15,16,19] 学生010[13,14,15,16,17,18,19] 学生011[18,19] 学生012[5,6,19] 学生013[13,14,15,16,17,18,19] 学生014[1,2,3,4,5,6,7,8,9,12,13,14,15,16,19] 学生015[2,4,6,8,10,12,13,14,16,19] 学生016[1,2,3,4,5,6,9,10,11,12,13,14,15,16,17,18,19] 学生017[14,16,19] 学生018[1,2,3,4,5,6,8,9,10,11,12,13,14,15,19] 学生019[18,19] 学生020[9,10,11,12,13,14,15,16,17,18,19] 学生021[14,15,19] 学生022[1,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19] 学生024[1,3,5,7,8,9,11,13,14,15,16,17,18,19] 学生025[1,2,3,9,10,11,12,13,14,17,18,19] 学生026[14,15,19] 学生027[19] 学生028[14,15,19] 学生029[1,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19] 学生030[19] 学生031[2,4,6,8,10,12,14,15,19] 学生032[1,2,3,4,5,6,9,10,11,12,13,14,15,16,17,18,19] 学生033[1,2,3,4] 学生034[2,4,6,8,10,12,14,16,17,18,19] 学生035[16,17,18,19] 学生036[1,2,3,4,13,14,15,16,17,18,19] 学生037[13,14,15,16,19] 学生038[2,4,6,8,10,12,13,14,16,19] 学生039[18,19] 学生040[18,19] 学生041[1,2,3,4,5,6,8,9,10,11,12,13,14,15,19] 学生042[1,2,3,4,5,6,15,16,17,18,19] 学生043[19] 学生044[1,2,3,4,5,6,8,9,10,11,12,13,14,15,19] 学生045[2,4,6,8,10,12,13,14,15,17,18,19] 学生046[19] 学生047[13,14,15,16,17,18,19]","学生001[5,6,8,9,10,11,12,13,14,15,19] 学生002[17,18,19] 学生003[5,6,9,10,11,12,13,14,15,16,17,18,19] 学生004[18,19] 学生005[16,17,19] 学生006[14,15,16,17,19] 学生007[1,2,3,5,6,7,8,9,10,11,12,13,14,15,19] 学生008[1,3,5,7,9,11,12,13,14,15,18,19] 学生009[14,15,16,19] 学生010[1,3,5,7,9,11,13,14,15,16,17,18,19] 学生011[13,14,15,16,18,19] 学生012[17,18,19] 学生013[15,16,17,18,19] 学生014[14,15,16,19] 学生015[16,19] 学生016[5,6,9,10,11,12,13,14,15,16,17,18,19] 学生017[1,3,5,7,9,11,13,15,19] 学生018[5,6,8,9,10,11,12,13,14,15,19] 学生019[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19] 学生020[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19] 学生021[3,5,7,9,11,13,15,19] 学生022[4,6,8,10,14,15,16,17,18,19] 学生024[1,3,5,7,9,11,13,14,15,16,17,18,19] 学生025[1,2,3,5,6,7,8,9,10,11,12,13,14,17,18,19] 学生026[3,5,7,9,11,13,15,19] 学生027[19] 学生028[3,5,7,9,11,13,15,19] 学生029[4,6,8,10,14,16,18,19] 学生030[19] 学生031[15,19] 学生032[5,6,9,10,11,12,13,14,15,16,17,18,19] 学生033[1,2,3,4,13,14,15,16,17,18,19] 学生034[17,18,19] 学生035[8,17,18,19] 学生036[1,2,3,4,8,9,13,14,15,16,17,18,19] 学生037[13,14,15,16,19] 学生038[16,19] 学生039[2,4,6,8,10,12,14,18,19] 学生040[13,14,15,16,18,19] 学生041[5,6,8,9,10,11,12,13,14,15,19] 学生042[1,2,3,4,6,8,10,12,14,16,17,18,19] 学生043[17,18,19] 学生044[5,6,8,9,10,11,12,13,14,15,19] 学生045[18,19] 学生046[19] 学生047[1,3,5,7,9,11,13,14,15,16,17,18,19]","学生001[19] 学生002[1,3,5,7,9,11,13,15,17,18,19] 学生003[15,16,17,18,19] 学生004[2,4,6,8,10,12,14,18,19] 学生005[1,10,11,14,15,16,17,19] 学生006[19] 学生007[14,15,19] 学生008[19] 学生009[1,12,13,14,15,16,19] 学生010[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19] 学生011[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19] 学生012[1,3,5,7,9,11,13,15,17,18,19] 学生013[1,2,17,18,19] 学生014[1,12,13,14,15,16,19] 学生015[12,13,14,16,19] 学生016[15,16,17,18,19] 学生017[19] 学生018[19] 学生019[18,19] 学生020[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19] 学生021[19] 学生022[4,6,8,10,14,15,16,17,18,19] 学生024[9,10,11,12,13,14,15,16,17,18,19] 学生025[1,3,5,7,9,11,13,17,19] 学生026[19] 学生027[13,14,15,16,19] 学生028[19] 学生029[4,6,8,10,14,15,16,17,18,19] 学生030[1,2,3,4,7,8,9,10,11,12,13,14,15,16,17,18,19] 学生031[1,3,5,7,9,11,12,13,14,15,19] 学生032[1,2,3,4,5,6,9,10,11,12,13,14,15,16,17,18,19] 学生033[1,2,3,4,5,6,15,16,17,18,19] 学生034[17,18,19] 学生035[16,17,18,19] 学生036[1,2,3,4,15,16,17,18,19] 学生037[12,13,14,15,16,19] 学生038[12,13,14,16,19] 学生039[1,3,5,7,9,11,13,14,15,17,18,19] 学生040[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19] 学生041[19] 学生042[1,2,3,4,17,18,19] 学生043[19] 学生044[19] 学生045[2,4,6,8,10,12,14,18,19] 学生046[13,14,15,16,19] 学生047[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]"
