,周一,周二,周三,周四,周五
1-2,"学生001、学生018、学生041、学生044(1-6,8-15,19周) 学生002 学生003、学生016、学生032(1-6,9-19周) 学生004、学生011、学生019、学生039、学生040、学生043、学生045(17周及之前) 学生005(1-11,14-17,19周) 学生006(15-17,19周) 学生007(1-3,5-15,19周) 学生008(4,14-15,18-19周) 学生009、学生014(1-4,19周) 学生010、学生020、学生024、学生047(12周及之前) 学生012(7-8,19周) 学生013(18周及之前) 学生015、学生038(12-14,16,19周) 学生017(1-4,9-16,19周) 学生021、学生026、学生028(13-15,19周) 学生022、学生029(1,3-11,13-19周) 学生025(1-3,5-14,17-19周) 学生027、学生046(1-8,13-16,19周) 学生030(2,4,8-16双,18-19周) 学生031(15,19周) 学生033(1-6,15-19周) 学生034(16周及之前) 学生035(1-3,5-8,11-19周) 学生036、学生042(1-4,17-19周) 学生037(13-16,19周)","学生001、学生003、学生016、学生017、学生018、学生030、学生032、学生041、学生044(18周及之前) 学生002、学生012(16周及之前) 学生004、学生039(13-15,17-19周) 学生005(3,15-17,19周) 学生006(5-8,10-17,19周) 学生007(14-15,19周) 学生008(1-15,18-19周) 学生009、学生014(1-9,12-16,19周) 学生010、学生024、学生047(12周及之前) 学生011、学生040(1-11单,13-16,18-19周) 学生013(1-2,17-19周) 学生015、学生038(16,19周) 学生019(13-16,18-19周) 学生020 学生021、学生026、学生028(15,19周) 学生022、学生029(14周及之前) 学生025(9,19周) 学生027、学生046(15-16,19周) 学生031(1-3,5-15单,19周) 学生033(1-4,8-9,13-19周) 学生034(2-10双,12-19周) 学生035(8,17-19周) 学生036、学生042(1-4,17-19周) 学生037(1-16,19周) 学生045(17周及之前)","学生001、学生003、学生016、学生018、学生021、学生026、学生028、学生030、学生032、学生035、学生041、学生043、学生044(18周及之前) 学生002、学生012、学生034(16周及之前) 学生004、学生011、学生019、学生040、学生045(17周及之前) 学生005(1-4,9-11,14-17,19周) 学生006(1-8,10-17,19周) 学生007(15,19周) 学生008(2-12双,14-15,18-19周) 学生009、学生014(2-8双,12,14-16,19周) 学生010、学生024、学生047 学生013(1-6,17-19周) 学生015、学生038(1-14,16,19周) 学生017(1-16,19周) 学生020(2-10双,12-19周) 学生022、学生029(14周及之前) 学生025(1-13单,17-19周) 学生027、学生046(13,15,19周) 学生031(12-15,19周) 学生033(1-4,15-19周) 学生036、学生042(5周及之后) 学生037(9-16,19周) 学生039(13-15,17-19周)","学生001、学生041、学生044(15,19周) 学生002、学生012(1-4,9-19周) 学生003、学生013、学生016、学生030、学生032(16周及之前) 学生004、学生045(2-10双,12-15,17-19周) 学生005、学生027、学生046(18周及之前) 学生006(16-17,19周) 学生007(3,19周) 学生008(1-15,18-19周) 学生009、学生014(2-8双,12-16双,19周) 学生010、学生024、学生047 学生011、学生035、学生040(17周及之前) 学生015、学生038(13-14,16,19周) 学生017(15-16,19周) 学生018(12-15,19周) 学生019(2-10双,12-16,18-19周) 学生020、学生034(12周及之前) 学生021、学生026、学生028(2-12双,14-15,19周) 学生022、学生029(1,3-11,13-19周) 学生025(13-14,17-19周) 学生031(1-2,15,19周) 学生033(1-4,17-19周) 学生036(1-4,6-14双,16-19周) 学生037(1-16,19周) 学生039(1-15,17-19周) 学生042(1-5,7-11单,13-19周) 学生043(2-8,14-15,17-19周)","学生001、学生018、学生041、学生044(2-12双,14-15,19周) 学生002、学生012(12周及之前) 学生003、学生016(1-5单,9-19单) 学生004、学生039、学生045(1-15,17-19周) 学生005(1,10-11,14-17,19周) 学生006、学生021、学生026、学生028、学生043(18周及之前) 学生007(3,14-15,19周) 学生008(1-9单,11-15,18-19周) 学生009、学生014(1,12-16,19周) 学生010、学生020、学生024、学生033、学生047 学生011、学生019、学生040(17周及之前) 学生013(1-9,12-19周) 学生015、学生038(2-10双,12-14,16,19周) 学生017(13-16,19周) 学生022、学生029(1,3-4,9-11,13-19周) 学生025(16周及之前) 学生027、学生046(1-16,19周) 学生030(6周及之前) 学生031(2-10双,12-15,19周) 学生032(15-19单) 学生034(7周及之前) 学生035(1-3,5-8,11-19周) 学生036、学生042(1-4,17-19周) 学生037(9-16,19周)"
3-4,"学生001、学生041、学生044(15,19周) 学生002、学生010、学生047 学生003、学生016、学生032(1-6,9-19周) 学生004、学生045(13-15,17-19周) 学生005(1-4,17,19周) 学生006(1-8,10-17,19周) 学生007(1-3,19周) 学生008、学生022、学生029、学生043(18周及之前) 学生009、学生014(15-16,19周) 学生011、学生040(1-16,18-19周) 学生012、学生025、学生035(16周及之前) 学生013、学生030(14周及之前) 学生015、学生038(13-14,16,19周) 学生017、学生027、学生046(1-16,19周) 学生018(12-15,19周) 学生019(13-16,18-19周) 学生020(11周及之前) 学生021、学生026、学生028(14-15,19周) 学生024(8,14-19周) 学生031(2-10双,12-15,19周) 学生033、学生036、学生042(1-4,17-19周) 学生034(12周及之前) 学生037(13-16,19周) 学生039(1-15,17-19周)","学生001、学生007、学生018、学生041、学生044(14-15,19周) 学生002、学生012(13,15-19周) 学生003、学生013、学生016、学生030、学生032(16周及之前) 学生004、学生035、学生039、学生045(17周及之前) 学生005(1-11单,15-17,19周) 学生006(16-17,19周) 学生008(7-15,18-19周) 学生009、学生014(2-8双,12,14-16,19周) 学生010、学生024、学生033、学生047 学生011、学生019、学生040(2-16双,18-19周) 学生015、学生038(13-14,16,19周) 学生017、学生027、学生046(1-4,19周) 学生020(2-10双,12-19周) 学生021、学生026、学生028(18周及之前) 学生022、学生029(14周及之前) 学生025(1-3,17-19周) 学生031(1-4,9-15,19周) 学生034(8,13-19周) 学生036(1-4,17-19周) 学生037(5-16,19周) 学生042(1-4,13-19周)","学生001、学生018、学生041、学生044(1-6,8-15,19周) 学生002、学生012(5-6,19周) 学生003、学生016、学生032(1-6,9-19周) 学生004、学生045(2-10双,12-15,17-19周) 学生005(1-11,14-17,19周) 学生006(10-17,19周) 学生007(3,19周) 学生008(12-15,18-19周) 学生009、学生014(1-9,12-16,19周) 学生010、学生013、学生047(12周及之前) 学生011、学生019、学生039、学生040(17周及之前) 学生015、学生038(2-10双,12-14,16,19周) 学生017(14,16,19周) 学生020(8周及之前) 学生021、学生026、学生028(14-15,19周) 学生022、学生029(1,3-11,13-19周) 学生024(1-5单,7-9,11,13-19周) 学生025(1-3,9-14,17-19周) 学生027、学生030、学生043、学生046(18周及之前) 学生031(2-12双,14-15,19周) 学生033(5周及之后) 学生034(2-14双,16-19周) 学生035(15周及之前) 学生036(1-4,13-19周) 学生037(13-16,19周) 学生042(1-6,15-19周)","学生001、学生018、学生041、学生044(5-6,8-15,19周) 学生002、学生012、学生034、学生043(16周及之前) 学生003、学生016、学生032(5-6,9-19周) 学生004、学生045(17周及之前) 学生005(16-17,19周) 学生006(14-17,19周) 学生007(1-3,5-15,19周) 学生008(1-9单,11-15,18-19周) 学生009、学生014(14-16,19周) 学生010、学生024、学生047(1-11单,13-19周) 学生011、学生040(13-16,18-19周) 学生013(14周及之前) 学生015、学生038(16,19周) 学生017(1-15单,19周) 学生019(1-16,18-19周) 学生020 学生021、学生026、学生028(3-15单,19周) 学生022(4-10双,14-19周) 学生025(1-3,5-14,17-19周) 学生027、学生030、学生046(18周及之前) 学生029(4-10双,14,16,18-19周) 学生031(15,19周) 学生033(1-4,13-19周) 学生035(8,17-19周) 学生036(1-4,8-9,13-19周) 学生037(13-16,19周) 学生039(2-14双,18-19周) 学生042(1-4,6-14双,16-19周)","学生001、学生006、学生008、学生017、学生018、学生021、学生026、学生028、学生041、学生043、学生044(18周及之前) 学生002、学生012(1-15单,17-19周) 学生003、学生016(14周及之前) 学生004、学生045(2-14双,18-19周) 学生005(1,10-11,14-17,19周) 学生007(14-15,19周) 学生009、学生014(1,12-16,19周) 学生010、学生020、学生047 学生011、学生040(1-16,18-19周) 学生013(1-2,17-19周) 学生015、学生038(12-14,16,19周) 学生019(17周及之前) 学生022、学生029(4-10双,14-19周) 学生024(8周及之前) 学生025(1-13单,17,19周) 学生027、学生046(13-16,19周) 学生030(1-4,7-19周) 学生031(1-9单,11-15,19周) 学生032(1-6,9-19周) 学生033(1-6,15-19周) 学生034(16周及之前) 学生035(15周及之前) 学生036(1-4,15-19周) 学生037(12-16,19周) 学生039(1-11单,13-15,17-19周) 学生042(1-4,17-19周)"
5-6,"学生001、学生018、学生041、学生044(1-6,8-15,19周) 学生002、学生012 学生003、学生016、学生032(1-6,9-19周) 学生004、学生033、学生039、学生045(1-4,17-19周) 学生005(15-17,19周) 学生006(12-17,19周) 学生007(1-15单,19周) 学生008、学生017、学生027、学生046(18周及之前) 学生009、学生014(14-16,19周) 学生010、学生024、学生047(11周及之前) 学生011、学生040(13-16,18-19周) 学生013(1-7,9,13,15,17-19周) 学生015、学生038(12-14,16,19周) 学生019(1-16,18-19周) 学生020(12周及之前) 学生021、学生026、学生028(2-4,9-15,19周) 学生022、学生029(1,3-11,13-19周) 学生025(1-3,5-14,17-19周) 学生030(1-4,7-19周) 学生031(12-15,19周) 学生034(16周及之前) 学生035(15周及之前) 学生036(1-6,15-19周) 学生037(11-16,19周) 学生042(1-4,15-19周) 学生043(2-4,14-15,17-19周)","学生001、学生018、学生041、学生044(1-6,8-15,19周) 学生002、学生010、学生012、学生020、学生024、学生047 学生003、学生016(2-6双,10,12,14-19周) 学生004、学生011、学生019、学生039、学生040(17周及之前) 学生005(14-17,19周) 学生006(1-8,10-17,19周) 学生007(1,11-15,19周) 学生008(12-15,18-19周) 学生009、学生014(2-8双,12,14-16,19周) 学生013(1-9,12-19周) 学生015、学生038(1-14,16,19周) 学生017(2-12双,14-16,19周) 学生021、学生026、学生028(14-15,19周) 学生022、学生029(13周及之前) 学生025(2,6-10双,12-14,17-19周) 学生027、学生046(1-16,19周) 学生030(1-4,7-19周) 学生031(15,19周) 学生032(14周及之前) 学生033(1-4,15-19周) 学生034(1-6,8-19周) 学生035(1-3,17-19周) 学生036(1-4,13-19周) 学生037(13-16,19周) 学生042(1-4,8-9,17-19周) 学生043(16周及之前) 学生045(13-15,17-19周)","学生001、学生018、学生041、学生044(1,19周) 学生002、学生024 学生003、学生016、学生032(1-6,9-19周) 学生004、学生045(1-15,17-19周) 学生005(2-10双,14-17,19周) 学生006(1-8,10-17,19周) 学生007(2-3,6-12双,14-15,19周) 学生008(13-15,18-19周) 学生009、学生014(15-16,19周) 学生010、学生034、学生047(2-10双,12-19周) 学生011、学生040(1-11单,13-16,18-19周) 学生012(2-14双,16-19周) 学生013(16,18-19周) 学生015、学生038(13-14,16,19周) 学生017(18周及之前) 学生019(1-16,18-19周) 学生020(4周及之前) 学生021、学生026、学生028(13-15,19周) 学生022、学生029(1,3-11,13-19周) 学生025(2,6-14双,17-19周) 学生027、学生046(1,10-16,19周) 学生030(2,4,8-12双,14-19周) 学生031(12-15,19周) 学生033、学生042(1-4,13-19周) 学生035(16周及之前) 学生036(1-6,15-19周) 学生037(11-16,19周) 学生039(12-15,17-19周) 学生043(17周及之前)","学生001、学生018、学生041、学生044(1-6,8-15,19周) 学生002、学生010、学生012、学生020、学生024、学生033、学生036、学生042、学生047 学生003、学生016、学生032(1-6,9-19周) 学生004、学生039、学生045(1-15,17-19周) 学生005(1-11,14-17,19周) 学生006(1-8,10-17,19周) 学生007(1-3,5-15,19周) 学生008(1-15,18-19周) 学生009、学生014(1-9,12-16,19周) 学生011、学生019、学生040(1-16,18-19周) 学生013(1-9,12-19周) 学生015、学生038(1-14,16,19周) 学生017、学生027、学生037、学生046(1-16,19周) 学生021、学生026、学生028(2-15,19周) 学生022、学生029(1,3-11,13-19周) 学生025(1-3,5-14,17-19周) 学生030(1-4,7-19周) 学生031(1-15,19周) 学生034(1-6,8-19周) 学生035(1-3,5-8,11-19周) 学生043(2-8,14-15,17-19周)","学生001、学生018、学生041、学生044(14-15,19周) 学生002、学生012(15周及之前) 学生003、学生016、学生032(1-5单,9-13单,15-19周) 学生004、学生045(1-4,9-15,17-19周) 学生005(1-11,14-17,19周) 学生006(16-17,19周) 学生007(15,19周) 学生008(9-15,18-19周) 学生009、学生014、学生027、学生046(16,19周) 学生010、学生024、学生047(8周及之前) 学生011、学生019、学生040(1-15单,18-19周) 学生013(1-9,12-19周) 学生015、学生038(12-14,16,19周) 学生017(1-13单,15-16,19周) 学生020 学生021、学生026、学生028、学生037(18周及之前) 学生022、学生029(14周及之前) 学生025(1-3,5-14,17-19周) 学生030(1-4,7-19周) 学生031(12-15,19周) 学生033(1-4,6-12双,14-19周) 学生034(1-6,8-19周) 学生035(16周及之前) 学生036(1-4,15-19周) 学生039(17周及之前) 学生042(1-6,15-19周) 学生043(2-8双,14,18-19周)"
7-8,"学生001、学生018、学生041、学生043、学生044(18周及之前) 学生002、学生012、学生020、学生024、学生036 学生003、学生016、学生032(1-6,9-19周) 学生004、学生045(2-14双,18-19周) 学生005(1-11,14-17,19周) 学生006(1-8,10-17,19周) 学生007(1-3,5-15,19周) 学生008(1-4,9-15,18-19周) 学生009、学生014(15-16,19周) 学生010、学生047(8周及之前) 学生011、学生019、学生040(1-4,18-19周) 学生013(1-9,12-19周) 学生015、学生038(2-10双,12-14,16,19周) 学生017、学生027、学生037、学生046(1-16,19周) 学生021、学生026、学生028(10-15,19周) 学生022、学生029(1,3-11,13-19周) 学生025(1-3,5-14,17-19周) 学生030(1-4,7-19周) 学生031(2-10双,12-15,19周) 学生033、学生034(1-4,17-19周) 学生035(11周及之前) 学生039(1-15单,17-19周) 学生042(1-4,15-19周)","学生001、学生018、学生041、学生044(13-15,19周) 学生002、学生012、学生013(1,18-19周) 学生003、学生016、学生032(1-6,9-19周) 学生004、学生045(17周及之前) 学生005(15-17,19周) 学生006(16-17,19周) 学生007(1,11-15,19周) 学生008(1-15,18-19周) 学生009、学生014(5-9,12-16,19周) 学生010、学生020、学生024、学生042、学生047 学生011、学生019、学生040(12-16,18-19周) 学生015、学生038(1-9单,11-14,16,19周) 学生017(15-16,19周) 学生021、学生026、学生028(2-15,19周) 学生022(1,3-11,13-19周) 学生025、学生027、学生030、学生046(18周及之前) 学生029(1,3-4,18-19周) 学生031(1-15,19周) 学生033(1-4,15-19周) 学生034(1-6,8-19周) 学生035(1-7单,11-15单,17-19周) 学生036(1-4,10-19周) 学生037(13-16,19周) 学生039(2-10双,12-15,17-19周) 学生043(15,17-19周)","学生001、学生041、学生044(14-15,19周) 学生002、学生012、学生036 学生003、学生016、学生032(15周及之前) 学生004、学生045(12-15,17-19周) 学生005(2-10双,14-17,19周) 学生006(1-8,10-17,19周) 学生007(3,14-15,19周) 学生008(1-15,18-19周) 学生009、学生014(1-9,12-16,19周) 学生010、学生024、学生047(1-4,9-19周) 学生011、学生040(1-16,18-19周) 学生013(14周及之前) 学生015、学生038(9-14,16,19周) 学生017(1-16,19周) 学生018(18周及之前) 学生019(1-11单,13-16,18-19周) 学生020(8周及之前) 学生021、学生026、学生028(3-11单,13-15,19周) 学生022、学生029(1,3-11,13-19周) 学生025(1-3,5-14,17-19周) 学生027、学生046(1,10-16,19周) 学生030(1-4,7-19周) 学生031(12-15,19周) 学生033(1-4,6-14双,16-19周) 学生034(16周及之前) 学生035(1-7单,11,13,15-19周) 学生037(12-16,19周) 学生039(2-14双,18-19周) 学生042(1-4,10-19周)","学生001、学生018、学生041、学生044(1-6,8-15,19周) 学生002、学生010、学生012、学生020、学生024、学生033、学生036、学生042、学生047 学生003、学生016、学生032(1-6,9-19周) 学生004、学生039、学生045(1-15,17-19周) 学生005(1-11,14-17,19周) 学生006(1-8,10-17,19周) 学生007(1-3,5-15,19周) 学生008(1-15,18-19周) 学生009、学生014(1-9,12-16,19周) 学生011、学生019、学生040(1-16,18-19周) 学生013(1-9,12-19周) 学生015、学生038(1-14,16,19周) 学生017、学生027、学生037、学生046(1-16,19周) 学生021、学生026、学生028(2-15,19周) 学生022、学生029(1,3-11,13-19周) 学生025(1-3,5-14,17-19周) 学生030(1-4,7-19周) 学生031(1-15,19周) 学生034(1-6,8-19周) 学生035(1-3,5-8,11-19周) 学生043(2-8,14-15,17-19周)","学生001、学生018、学生041、学生044(1-6,8-15,19周) 学生002、学生010、学生012、学生020、学生024、学生042、学生047 学生003、学生016、学生032(1-6,9-19周) 学生004、学生045(9-15,17-19周) 学生005(15-17,19周) 学生006(1,19周) 学生007(2,6-12双,14-15,19周) 学生008(1-15,18-19周) 学生009、学生014(1-9,12-16,19周) 学生011、学生019、学生040(2-16双,18-19周) 学生013(9,12-19周) 学生015、学生038(1-2,7-14,16,19周) 学生017、学生027、学生037、学生046(1-16,19周) 学生021、学生026、学生028(10-15,19周) 学生022、学生029(1,3-11,13-19周) 学生025(9,17-19周) 学生030(1-4,7-19周) 学生031(12-15,19周) 学生033(1-4,17-19周) 学生034(8周及之前) 学生035(1-3,5-8,11-19周) 学生036(1-4,6-10双,12-19周) 学生039(17周及之前) 学生043(15,17-19周)"
9-10,"学生001、学生018、学生041、学生044(1-6,8-15,19周) 学生002、学生010、学生012、学生020、学生024、学生033、学生036、学生042、学生047 学生003、学生016、学生032(1-6,9-19周) 学生004、学生038(1-2,19周) 学生005(3,15-17,19周) 学生006(1-8,10-17,19周) 学生007(1-3,5-15,19周) 学生008(1-15,18-19周) 学生009、学生014(1-9,12-16,19周) 学生011、学生040(1-16,18-19周) 学生013(1-9,12-19周) 学生015(1-14,16,19周) 学生017、学生027、学生037、学生046(1-16,19周) 学生019(1-4,9-16,18-19周) 学生021、学生026、学生028(3-11单,13-15,19周) 学生022、学生029(1,3-11,13-19周) 学生025(1-3,5-14,17-19周) 学生030(1-4,7-19周) 学生031(12-15,19周) 学生034(16周及之前) 学生035(1,13-19周) 学生039、学生045(1-15,17-19周) 学生043(2-8,14-15,17-19周)","学生001、学生018、学生041、学生044(1-6,8-15,19周) 学生002、学生010、学生012、学生020、学生024、学生036、学生042、学生047 学生003、学生016、学生032(1-6,9-19周) 学生004、学生039、学生045(1-15,17-19周) 学生005(9-11,14-17,19周) 学生006(2-12双,14-17,19周) 学生007(1-3,9-15,19周) 学生008(1-15,18-19周) 学生009、学生014(1-9,12-16,19周) 学生011、学生019、学生040(9-16,18-19周) 学生013(9,12-19周) 学生015、学生038(1-14,16,19周) 学生017(1,10-16,19周) 学生021、学生026、学生028(2-15,19周) 学生022、学生029(1,3-11,13-19周) 学生025(1,11-14,17-19周) 学生027、学生034(1-2,19周) 学生030(1-4,7-19周) 学生031(11-15,19周) 学生033(1-4,10-19周) 学生035(1-3,5-8,15-19周) 学生037(1-16,19周) 学生043(2-8,14-15,17-19周) 学生046(1-2,11-16,19周)","学生001、学生018、学生041、学生044(1-6,8-15,19周) 学生002、学生010、学生012、学生020、学生024、学生033、学生036、学生042、学生047 学生003、学生016、学生032(1-6,9-19周) 学生004、学生045(1-15,17-19周) 学生005(1-11,14-17,19周) 学生006(1-8,10-17,19周) 学生007(3,19周) 学生008(1-15,18-19周) 学生009、学生014(1-9,12-16,19周) 学生011、学生040(1-4,9-16,18-19周) 学生013(1-9,12-19周) 学生015、学生038(1-14,16,19周) 学生017(16,19周) 学生019(1-2,19周) 学生021、学生026、学生028(2-15,19周) 学生022、学生029(7-8,13-19周) 学生025(1-3,5-14,17-19周) 学生027、学生037、学生046(1-16,19周) 学生030(1-4,7-19周) 学生031(9-15,19周) 学生034(1-6,8-19周) 学生035(1-3,19周) 学生039(1-3,5-19单周) 学生043(2-8,14-15,17-19周)","学生001、学生041、学生044(1-3,5,9-15单,19周) 学生002、学生010、学生020、学生024、学生033、学生036、学生042、学生047 学生003、学生016(1-6,9-19周) 学生004、学生045(2-14双,18-19周) 学生005(3,15-17,19周) 学生006(1-8,10-17,19周) 学生007(1-3,5-15,19周) 学生008(1-15,18-19周) 学生009、学生014(9,12-16,19周) 学生011(1-2,11-16,18-19周) 学生012(2,4,6-8,10-16双,18-19周) 学生013(1-9,12-19周) 学生015、学生038(14,16,19周) 学生017、学生027、学生037(1-16,19周) 学生018(1-6,8-15,19周) 学生019(1-16,18-19周) 学生021、学生026、学生028(2-15,19周) 学生022、学生029(1,3-11,13-19周) 学生025(1-3,5-14,17-19周) 学生030(2,4,8,10,12-19周) 学生031(1-15,19周) 学生032(1-3,5,9-19单周) 学生034(1-6,8-19周) 学生035、学生040(1-2,19周) 学生039(13-15,17-19周) 学生043(2-8,14-15,17-19周) 学生046(1-3,5-15单,19周)","学生001、学生018、学生041、学生044(1-6,8-15,19周) 学生002、学生010、学生012、学生020、学生024、学生033、学生036、学生042、学生047 学生003、学生016、学生032(1-6,9-19周) 学生004、学生039、学生045(1-15,17-19周) 学生005(1-11,14-17,19周) 学生006(1-8,10-17,19周) 学生007(1-11单,13-15,19周) 学生008(1-15,18-19周) 学生009、学生014(1-9,12-16,19周) 学生011、学生019、学生040(1-16,18-19周) 学生013(1-9,12-19周) 学生015、学生038(1-14,16,19周) 学生017、学生027、学生037、学生046(1-16,19周) 学生021、学生026、学生028(2-15,19周) 学生022、学生029(1,3-11,13-19周) 学生025(1-3,5-14,17-19周) 学生030(1-4,7-19周) 学生031(1-15,19周) 学生034(1-6,8-19周) 学生035(1-3,5-8,11-19周) 学生043(2-8,14-15,17-19周)"
