,周一,周二,周三,周四,周五
第一大节,学生001 学生003 学生005 学生007 学生016 学生017 学生018 学生022 学生025 学生029 学生030 学生032 学生041 学生044,学生006 学生008 学生034 学生037,学生005 学生006 学生008 学生015 学生017 学生020 学生037 学生038,学生002 学生004 学生008 学生012 学生019 学生021 学生022 学生026 学生028 学生029 学生036 学生037 学生045,学生001 学生004 学生005 学生015 学生018 学生022 学生023 学生027 学生029 学生031 学生037 学生038 学生041 学生044 学生045 学生046
第二大节,学生003 学生006 学生011 学生016 学生017 学生027 学生031 学生032 学生040 学生046,学生008 学生011 学生019 学生020 学生031 学生037 学生040 学生041,学生001 学生003 学生004 学生005 学生006 学生015 学生016 学生018 学生022 学生025 学生029 学生031 学生032 学生034 学生038 学生041 学生044 学生045,学生001 学生003 学生007 学生016 学生018 学生019 学生022 学生025 学生029 学生032 学生041 学生042 学生044,学生004 学生005 学生011 学生022 学生023 学生029 学生030 学生032 学生040 学生045
第三大节,学生001 学生003 学生016 学生018 学生019 学生021 学生022 学生025 学生026 学生028 学生029 学生030 学生032 学生041 学生044,学生001 学生003 学生006 学生015 学生016 学生017 学生018 学生025 学生027 学生030 学生038 学生041 学生044 学生046,学生003 学生004 学生005 学生006 学生007 学生010 学生012 学生016 学生019 学生022 学生025 学生027 学生029 学生030 学生032 学生034 学生044 学生045 学生046 学生047,学生001 学生003 学生004 学生005 学生006 学生007 学生008 学生011 学生015 学生016 学生017 学生018 学生019 学生021 学生022 学生023 学生025 学生026 学生027 学生028 学生029 学生030 学生031 学生032 学生037 学生038 学生040 学生041 学生044 学生045 学生046,学生003 学生004 学生005 学生008 学生016 学生025 学生030 学生033 学生045
第四大节,学生003 学生004 学生005 学生006 学生007 学生008 学生015 学生016 学生017 学生021 学生022 学生025 学生026 学生027 学生028 学生029 学生030 学生031 学生032 学生037 学生038 学生045 学生046,学生003 学生008 学生016 学生021 学生022 学生026 学生028 学生031 学生032 学生036 学生044,学生005 学生006 学生008 学生010 学生011 学生015 学生017 学生022 学生023 学生024 学生025 学生027 学生029 学生030 学生033 学生038 学生040 学生042 学生046 学生047,学生001 学生003 学生004 学生005 学生006 学生007 学生008 学生011 学生015 学生016 学生017 学生018 学生019 学生021 学生022 学生023 学生025 学生026 学生027 学生028 学生029 学生030 学生031 学生032 学生037 学生038 学生040 学生041 学生044 学生045 学生046,学生001 学生003 学生007 学生008 学生011 学生015 学生016 学生017 学生018 学生019 学生021 学生022 学生023 学生026 学生027 学生028 学生029 学生030 学生032 学生036 学生037 学生038 学生040 学生041 学生044 学生045 学生046
